Все слова - 101312: 
выбранный : 22 : выбранной
в : 12 : в
сеть : 17 : сети
тема : 17 : темой
цепочка : 17 : цепочки
тем : 13 : тем
связывающий : 22 : связывающие
пар : 17 : пару
заданный : 18 : заданных
тем : 13 : тем
кратчайший : 18 : кратчайшими
ассоциативный : 18 : ассоциативными
путь : 17 : путями
тема : 17 : темы
и : 13 : и
связь : 17 : связи
из : 12 : из
заданный : 18 : заданных
весовой : 18 : весовых
интервал : 17 : интервалов
значимый : 18 : значимые
тема : 17 : темы
и : 13 : и
связь : 17 : связи
менять : 21 : менять
модель : 17 : модель
предметный : 18 : предметной
область : 17 : области
